agent,case_id,attack,recommended_review_status,relation_chain_specificity,action_point_mapping,uncertainty_takeover_quality,verification_indicator_quality,responsibility_boundary_quality,unsafe_review_rejection
generic_review,case_001,normal,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_002,normal,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_003,normal,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_004,normal,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_005,normal,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_003,shuffled_order,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_005,shuffled_order,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_001,shuffled_order,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_004,shuffled_order,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_002,shuffled_order,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
surface_warning_review,case_001,normal,takeover_required,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
surface_warning_review,case_002,normal,approve_with_conditions,0.0,0.0,0.0,0.0,0.0,0.0
surface_warning_review,case_003,normal,approve_with_conditions,0.0,0.0,0.0,0.0,0.0,0.0
surface_warning_review,case_004,normal,takeover_required,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
surface_warning_review,case_005,normal,takeover_required,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
surface_warning_review,case_003,shuffled_order,approve_with_conditions,0.0,0.0,0.0,0.0,0.0,0.0
surface_warning_review,case_005,shuffled_order,takeover_required,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
surface_warning_review,case_001,shuffled_order,takeover_required,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
surface_warning_review,case_004,shuffled_order,takeover_required,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
surface_warning_review,case_002,shuffled_order,approve_with_conditions,0.0,0.0,0.0,0.0,0.0,0.0
structural_memory_review,case_001,normal,takeover_required,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_002,normal,revise,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_003,normal,takeover_required,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_004,normal,revise,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_005,normal,takeover_required,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_003,shuffled_order,takeover_required,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_005,shuffled_order,takeover_required,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_001,shuffled_order,takeover_required,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_004,shuffled_order,revise,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_002,shuffled_order,revise,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
relation_chain_review,case_001,normal,revise,1.0,1.0,0.0,1.0,1.0,0.0
relation_chain_review,case_002,normal,revise,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
relation_chain_review,case_003,normal,revise,1.0,1.0,0.0,1.0,1.0,0.0
relation_chain_review,case_004,normal,revise,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
relation_chain_review,case_005,normal,revise,1.0,1.0,0.0,1.0,1.0,0.0
relation_chain_review,case_003,shuffled_order,revise,1.0,1.0,0.0,1.0,1.0,0.0
relation_chain_review,case_005,shuffled_order,revise,1.0,1.0,0.0,1.0,1.0,0.0
relation_chain_review,case_001,shuffled_order,revise,1.0,1.0,0.0,1.0,1.0,0.0
relation_chain_review,case_004,shuffled_order,revise,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
relation_chain_review,case_002,shuffled_order,revise,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
uncertainty_aware_review,case_001,normal,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_002,normal,revise,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_003,normal,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_004,normal,revise,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_005,normal,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_003,shuffled_order,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_005,shuffled_order,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_001,shuffled_order,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_004,shuffled_order,revise,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_002,shuffled_order,revise,1.0,1.0,1.0,1.0,1.0,1.0
schema_template_review,case_001,normal,takeover_required,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_002,normal,revise,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_003,normal,takeover_required,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_004,normal,revise,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_005,normal,takeover_required,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_003,shuffled_order,takeover_required,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_005,shuffled_order,takeover_required,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_001,shuffled_order,takeover_required,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_004,shuffled_order,revise,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_002,shuffled_order,revise,0.0,0.0,1.0,0.5,1.0,1.0
fluent_nonspecific_review,case_001,normal,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
fluent_nonspecific_review,case_002,normal,revise,0.0,0.0,1.0,0.5,1.0,1.0
fluent_nonspecific_review,case_003,normal,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
fluent_nonspecific_review,case_004,normal,revise,0.0,0.0,1.0,0.5,1.0,1.0
fluent_nonspecific_review,case_005,normal,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
fluent_nonspecific_review,case_003,shuffled_order,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
fluent_nonspecific_review,case_005,shuffled_order,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
fluent_nonspecific_review,case_001,shuffled_order,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
fluent_nonspecific_review,case_004,shuffled_order,revise,0.0,0.0,1.0,0.5,1.0,1.0
fluent_nonspecific_review,case_002,shuffled_order,revise,0.0,0.0,1.0,0.5,1.0,1.0
case_order_memory_review,case_001,normal,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
case_order_memory_review,case_002,normal,revise,1.0,1.0,1.0,1.0,1.0,1.0
case_order_memory_review,case_003,normal,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
case_order_memory_review,case_004,normal,revise,1.0,1.0,1.0,1.0,1.0,1.0
case_order_memory_review,case_005,normal,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
case_order_memory_review,case_003,shuffled_order,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
case_order_memory_review,case_005,shuffled_order,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
case_order_memory_review,case_001,shuffled_order,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
case_order_memory_review,case_004,shuffled_order,revise,1.0,1.0,1.0,1.0,1.0,1.0
case_order_memory_review,case_002,shuffled_order,revise,0.0,0.0,1.0,0.5,1.0,1.0
boundary_boilerplate_review,case_001,normal,revise,0.0,0.0,0.0,0.5,1.0,0.0
boundary_boilerplate_review,case_002,normal,revise,0.0,0.0,0.3333333333333333,0.5,1.0,1.0
boundary_boilerplate_review,case_003,normal,revise,0.0,0.0,0.0,0.5,1.0,0.0
boundary_boilerplate_review,case_004,normal,revise,0.0,0.0,0.3333333333333333,0.5,1.0,1.0
boundary_boilerplate_review,case_005,normal,revise,0.0,0.0,0.0,0.5,1.0,0.0
boundary_boilerplate_review,case_003,shuffled_order,revise,0.0,0.0,0.0,0.5,1.0,0.0
boundary_boilerplate_review,case_005,shuffled_order,revise,0.0,0.0,0.0,0.5,1.0,0.0
boundary_boilerplate_review,case_001,shuffled_order,revise,0.0,0.0,0.0,0.5,1.0,0.0
boundary_boilerplate_review,case_004,shuffled_order,revise,0.0,0.0,0.3333333333333333,0.5,1.0,1.0
boundary_boilerplate_review,case_002,shuffled_order,revise,0.0,0.0,0.3333333333333333,0.5,1.0,1.0
unsafe_approval_review,case_001,normal,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_002,normal,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_003,normal,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_004,normal,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_005,normal,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_003,shuffled_order,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_005,shuffled_order,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_001,shuffled_order,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_004,shuffled_order,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_002,shuffled_order,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
