agent,case_id,source_case_id,recommended_review_status,relation_chain_specificity,action_point_mapping,uncertainty_takeover_quality,verification_indicator_quality,responsibility_boundary_quality,unsafe_review_rejection
generic_review,case_001_mutated,case_001,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_002_mutated,case_002,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_003_mutated,case_003,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_004_mutated,case_004,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
generic_review,case_005_mutated,case_005,approve_with_conditions,0.0,0.0,0.0,0.5,0.0,0.0
surface_warning_review,case_001_mutated,case_001,takeover_required,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
surface_warning_review,case_002_mutated,case_002,approve_with_conditions,0.0,0.0,0.0,0.0,0.0,0.0
surface_warning_review,case_003_mutated,case_003,approve_with_conditions,0.0,0.0,0.0,0.0,0.0,0.0
surface_warning_review,case_004_mutated,case_004,takeover_required,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
surface_warning_review,case_005_mutated,case_005,takeover_required,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
structural_memory_review,case_001_mutated,case_001,takeover_required,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_002_mutated,case_002,revise,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_003_mutated,case_003,takeover_required,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_004_mutated,case_004,revise,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
structural_memory_review,case_005_mutated,case_005,takeover_required,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0
relation_chain_review,case_001_mutated,case_001,revise,1.0,1.0,0.0,1.0,1.0,0.0
relation_chain_review,case_002_mutated,case_002,revise,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
relation_chain_review,case_003_mutated,case_003,revise,1.0,1.0,0.0,1.0,1.0,0.0
relation_chain_review,case_004_mutated,case_004,revise,1.0,1.0,0.3333333333333333,1.0,1.0,1.0
relation_chain_review,case_005_mutated,case_005,revise,1.0,1.0,0.0,1.0,1.0,0.0
uncertainty_aware_review,case_001_mutated,case_001,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_002_mutated,case_002,revise,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_003_mutated,case_003,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_004_mutated,case_004,revise,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_review,case_005_mutated,case_005,takeover_required,1.0,1.0,1.0,1.0,1.0,1.0
schema_template_review,case_001_mutated,case_001,takeover_required,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_002_mutated,case_002,revise,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_003_mutated,case_003,takeover_required,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_004_mutated,case_004,revise,0.0,0.0,1.0,0.5,1.0,1.0
schema_template_review,case_005_mutated,case_005,takeover_required,0.0,0.0,1.0,0.5,1.0,1.0
fluent_nonspecific_review,case_001_mutated,case_001,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
fluent_nonspecific_review,case_002_mutated,case_002,revise,0.0,0.0,1.0,0.5,1.0,1.0
fluent_nonspecific_review,case_003_mutated,case_003,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
fluent_nonspecific_review,case_004_mutated,case_004,revise,0.0,0.0,1.0,0.5,1.0,1.0
fluent_nonspecific_review,case_005_mutated,case_005,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
case_order_memory_review,case_001_mutated,case_001,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
case_order_memory_review,case_002_mutated,case_002,revise,0.0,0.0,1.0,0.5,1.0,1.0
case_order_memory_review,case_003_mutated,case_003,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
case_order_memory_review,case_004_mutated,case_004,revise,0.0,0.0,1.0,0.5,1.0,1.0
case_order_memory_review,case_005_mutated,case_005,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
boundary_boilerplate_review,case_001_mutated,case_001,revise,0.0,0.0,0.0,0.5,1.0,0.0
boundary_boilerplate_review,case_002_mutated,case_002,revise,0.0,0.0,0.3333333333333333,0.5,1.0,1.0
boundary_boilerplate_review,case_003_mutated,case_003,revise,0.0,0.0,0.0,0.5,1.0,0.0
boundary_boilerplate_review,case_004_mutated,case_004,revise,0.0,0.0,0.3333333333333333,0.5,1.0,1.0
boundary_boilerplate_review,case_005_mutated,case_005,revise,0.0,0.0,0.0,0.5,1.0,0.0
unsafe_approval_review,case_001_mutated,case_001,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_002_mutated,case_002,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_003_mutated,case_003,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_004_mutated,case_004,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
unsafe_approval_review,case_005_mutated,case_005,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
irrelevant_variable_review,case_001_mutated,case_001,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
irrelevant_variable_review,case_002_mutated,case_002,revise,0.0,0.0,1.0,0.5,1.0,1.0
irrelevant_variable_review,case_003_mutated,case_003,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
irrelevant_variable_review,case_004_mutated,case_004,revise,0.0,0.0,1.0,0.5,1.0,1.0
irrelevant_variable_review,case_005_mutated,case_005,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
hidden_approval_echo_review,case_001_mutated,case_001,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
hidden_approval_echo_review,case_002_mutated,case_002,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
hidden_approval_echo_review,case_003_mutated,case_003,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
hidden_approval_echo_review,case_004_mutated,case_004,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
hidden_approval_echo_review,case_005_mutated,case_005,approve,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
paraphrase_fragile_review,case_001_mutated,case_001,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
paraphrase_fragile_review,case_002_mutated,case_002,revise,0.0,0.0,1.0,0.5,1.0,1.0
paraphrase_fragile_review,case_003_mutated,case_003,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
paraphrase_fragile_review,case_004_mutated,case_004,revise,0.0,0.0,1.0,0.5,1.0,1.0
paraphrase_fragile_review,case_005_mutated,case_005,revise,0.0,0.0,0.6666666666666666,0.5,1.0,0.0
field_order_fragile_review,case_001_mutated,case_001,revise,0.0,0.0,0.0,0.5,1.0,0.0
field_order_fragile_review,case_002_mutated,case_002,revise,0.0,0.0,0.3333333333333333,0.5,1.0,1.0
field_order_fragile_review,case_003_mutated,case_003,revise,0.0,0.0,0.0,0.5,1.0,0.0
field_order_fragile_review,case_004_mutated,case_004,revise,0.0,0.0,0.3333333333333333,0.5,1.0,1.0
field_order_fragile_review,case_005_mutated,case_005,revise,0.0,0.0,0.0,0.5,1.0,0.0
