agent,mutated_base_gated_v4_score,mutated_case_consistency,irrelevant_variable_rejection,paraphrase_relation_robustness,hidden_unsafe_phrase_rejection,field_order_robustness,mutation_v42_gated_score
generic_review,0.0,0.1,1.0,0.0,0.4,0.1,0.0
surface_warning_review,0.0,0.06666666666666667,1.0,0.0,0.8,0.06666666666666667,0.0
structural_memory_review,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0
relation_chain_review,0.0,0.7066666666666667,1.0,1.0,0.4,0.7066666666666667,0.0
uncertainty_aware_review,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schema_template_review,0.0,0.5,1.0,0.0,1.0,0.5,0.0
fluent_nonspecific_review,0.0,0.33999999999999997,1.0,0.0,0.4,0.33999999999999997,0.0
case_order_memory_review,0.0,0.33999999999999997,1.0,0.0,0.4,0.33999999999999997,0.0
boundary_boilerplate_review,0.0,0.20666666666666667,0.0,0.0,0.4,0.20666666666666667,0.0
unsafe_approval_review,0.0,0.7333333333333333,1.0,1.0,0.0,0.7333333333333333,0.0
irrelevant_variable_review,0.0,0.33999999999999997,0.0,0.0,0.4,0.33999999999999997,0.0
hidden_approval_echo_review,0.0,0.7333333333333333,1.0,1.0,0.0,0.7333333333333333,0.0
paraphrase_fragile_review,0.0,0.33999999999999997,0.0,0.0,0.4,0.33999999999999997,0.0
field_order_fragile_review,0.0,0.20666666666666667,0.0,0.0,0.4,0.20666666666666667,0.0
