agent,case_id,relation_chain_specificity,action_point_mapping,uncertainty_takeover_quality,verification_indicator_quality,responsibility_boundary_quality,unsafe_review_rejection,recommended_review_status
generic_review,case_001,0.0,0.0,0.0,0.5,0.0,0.0,approve_with_conditions
generic_review,case_002,0.0,0.0,0.0,0.5,0.0,0.0,approve_with_conditions
generic_review,case_003,0.0,0.0,0.0,0.5,0.0,0.0,approve_with_conditions
generic_review,case_004,0.0,0.0,0.0,0.5,0.0,0.0,approve_with_conditions
generic_review,case_005,0.0,0.0,0.0,0.5,0.0,0.0,approve_with_conditions
surface_warning_review,case_001,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,takeover_required
surface_warning_review,case_002,0.0,0.0,0.0,0.0,0.0,0.0,approve_with_conditions
surface_warning_review,case_003,0.0,0.0,0.0,0.0,0.0,0.0,approve_with_conditions
surface_warning_review,case_004,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,takeover_required
surface_warning_review,case_005,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,takeover_required
structural_memory_review,case_001,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,takeover_required
structural_memory_review,case_002,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,revise
structural_memory_review,case_003,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,takeover_required
structural_memory_review,case_004,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,revise
structural_memory_review,case_005,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,takeover_required
relation_chain_review,case_001,1.0,1.0,0.0,1.0,1.0,0.0,revise
relation_chain_review,case_002,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,revise
relation_chain_review,case_003,1.0,1.0,0.0,1.0,1.0,0.0,revise
relation_chain_review,case_004,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,revise
relation_chain_review,case_005,1.0,1.0,0.0,1.0,1.0,0.0,revise
uncertainty_aware_review,case_001,1.0,1.0,1.0,1.0,1.0,1.0,takeover_required
uncertainty_aware_review,case_002,1.0,1.0,1.0,1.0,1.0,1.0,revise
uncertainty_aware_review,case_003,1.0,1.0,1.0,1.0,1.0,1.0,takeover_required
uncertainty_aware_review,case_004,1.0,1.0,1.0,1.0,1.0,1.0,revise
uncertainty_aware_review,case_005,1.0,1.0,1.0,1.0,1.0,1.0,takeover_required
