model,seed,site,relation_subspace_drop,nuisance_subspace_drop
edit_pressure_training,0,query_hidden,0.1420000195503235,0.0
edit_pressure_training,0,support_relation_state,0.0,0.0
edit_pressure_training,0,combined_hidden,0.1420000195503235,0.0
edit_pressure_training,0,post_edit_state,0.0,0.0
edit_pressure_training,1,query_hidden,0.09799998998641968,0.0
edit_pressure_training,1,support_relation_state,0.0,0.0
edit_pressure_training,1,combined_hidden,0.10199999809265137,0.0
edit_pressure_training,1,post_edit_state,0.0,0.0
edit_pressure_training,2,query_hidden,0.1420000195503235,0.0
edit_pressure_training,2,support_relation_state,0.0,0.0
edit_pressure_training,2,combined_hidden,0.17799997329711914,0.0
edit_pressure_training,2,post_edit_state,0.0,0.0
edit_pressure_training,3,query_hidden,0.1420000195503235,0.0
edit_pressure_training,3,support_relation_state,0.0,0.0
edit_pressure_training,3,combined_hidden,0.1420000195503235,0.0
edit_pressure_training,3,post_edit_state,0.0,0.0
edit_pressure_training,4,query_hidden,0.17400002479553223,0.0
edit_pressure_training,4,support_relation_state,0.0,0.0
edit_pressure_training,4,combined_hidden,0.17400002479553223,0.0
edit_pressure_training,4,post_edit_state,0.0,0.0
