model,seed,linear_relation_acc,mlp_relation_acc,tree_relation_acc,linear_nuisance_acc,mlp_nuisance_acc,tree_nuisance_acc,linear_relation_selectivity,mlp_relation_selectivity,tree_relation_selectivity,nonlinear_relation_gain,nonlinear_nuisance_gain
pure_prediction,0,1.0,1.0,0.8766666650772095,1.0,1.0,0.8700000047683716,0.6966666579246521,0.6566666662693024,0.5566666722297668,0.0,0.0
pure_prediction,1,1.0,1.0,0.8733333349227905,1.0,1.0,1.0,0.7199999988079071,0.6966666579246521,0.5766666829586029,0.0,0.0
pure_prediction,2,1.0,1.0,0.8766666650772095,1.0,1.0,1.0,0.6899999976158142,0.6566666662693024,0.5766666531562805,0.0,0.0
pure_prediction,3,1.0,1.0,0.8700000047683716,1.0,1.0,1.0,0.6966666579246521,0.6633333265781403,0.550000011920929,0.0,0.0
pure_prediction,4,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.7066666781902313,0.726666659116745,0.0,0.0
counterfactual_training,0,1.0,1.0,0.8766666650772095,1.0,1.0,0.8566666841506958,0.6633333265781403,0.6566666662693024,0.5533333420753479,0.0,0.0
counterfactual_training,1,1.0,1.0,0.8733333349227905,1.0,1.0,1.0,0.7100000083446503,0.6933333277702332,0.5933333337306976,0.0,0.0
counterfactual_training,2,1.0,1.0,0.8766666650772095,1.0,1.0,1.0,0.6866666674613953,0.6566666662693024,0.5833333432674408,0.0,0.0
counterfactual_training,3,1.0,1.0,1.0,1.0,1.0,1.0,0.7133333384990692,0.6633333265781403,0.699999988079071,0.0,0.0
counterfactual_training,4,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333194255829,0.7066666781902313,0.723333328962326,0.0,0.0
edit_pressure_training,0,1.0,1.0,0.8766666650772095,1.0,1.0,1.0,0.6866666674613953,0.6699999868869781,0.5999999940395355,0.0,0.0
edit_pressure_training,1,1.0,1.0,0.8733333349227905,1.0,1.0,1.0,0.726666659116745,0.6933333277702332,0.5833333432674408,0.0,0.0
edit_pressure_training,2,1.0,1.0,0.8766666650772095,1.0,1.0,1.0,0.723333328962326,0.6633333265781403,0.5533333420753479,0.0,0.0
edit_pressure_training,3,1.0,1.0,0.8700000047683716,1.0,1.0,0.9700000286102295,0.723333328962326,0.6800000071525574,0.5933333337306976,0.0,0.0
edit_pressure_training,4,1.0,1.0,1.0,1.0,1.0,1.0,0.746666669845581,0.7066666781902313,0.726666659116745,0.0,0.0
