model,seed,support_conditioned_accuracy,binding_sensitivity,support_invariance_failure_rate,not_applicable
pure_prediction,0,0.0,0.0,0.0,True
pure_prediction,1,0.0,0.0,0.0,True
pure_prediction,2,0.0,0.0,0.0,True
pure_prediction,3,0.0,0.0,0.0,True
pure_prediction,4,0.0,0.0,0.0,True
counterfactual_training,0,0.0,0.0,0.0,True
counterfactual_training,1,0.0,0.0,0.0,True
counterfactual_training,2,0.0,0.0,0.0,True
counterfactual_training,3,0.0,0.0,0.0,True
counterfactual_training,4,0.0,0.0,0.0,True
edit_pressure_training,0,0.5,0.0,1.0,False
edit_pressure_training,1,0.5,0.0,1.0,False
edit_pressure_training,2,0.5,0.0,1.0,False
edit_pressure_training,3,0.5,0.0,1.0,False
edit_pressure_training,4,0.5,0.0,1.0,False
