model,seed,train_accuracy,ood_accuracy,spurious_attack_accuracy,shortcut_rejection_accuracy,reversal_adaptation_accuracy,counterfactual_consistency,probe_relation_accuracy,probe_nuisance_accuracy,probe_selectivity,relation_subspace_drop,nuisance_subspace_drop,table_alignment,table_ood_accuracy,table_spurious_attack_accuracy,table_edit_success,edit_locality,gated_internalization_score
pure_prediction,0,0.9940000176429749,0.8859999775886536,0.515999972820282,0.515999972820282,1.0,0.7625,1.0,1.0,0.75,0.16999995708465576,0.0,1.0,1.0,1.0,1.0,1.0,0.0
pure_prediction,1,1.0,0.9279999732971191,0.6620000004768372,0.6620000004768372,1.0,0.8825,1.0,1.0,0.75,0.03799998760223389,0.0,1.0,1.0,1.0,1.0,1.0,0.0
pure_prediction,2,0.9980000257492065,0.9520000219345093,0.8560000061988831,0.8560000061988831,1.0,0.9075,1.0,1.0,0.75,0.10800004005432129,0.0,1.0,1.0,1.0,1.0,1.0,0.0
pure_prediction,3,0.9940000176429749,0.8700000047683716,0.48399999737739563,0.48399999737739563,1.0,0.7525,1.0,1.0,0.75,0.078000009059906,0.0,1.0,1.0,1.0,1.0,1.0,0.0
pure_prediction,4,0.9919999837875366,0.9300000071525574,0.6639999747276306,0.6639999747276306,1.0,0.86,1.0,1.0,0.75,0.041999995708465576,0.0,1.0,1.0,1.0,1.0,1.0,0.0
prediction_bottleneck,0,1.0,1.0,1.0,1.0,1.0,1.0,0.6959999799728394,0.421999990940094,0.44599997997283936,0.5139999985694885,0.5139999985694885,1.0,1.0,1.0,1.0,1.0,0.0
prediction_bottleneck,1,1.0,1.0,1.0,1.0,1.0,1.0,0.7879999876022339,0.3240000009536743,0.5379999876022339,0.5060000121593475,0.5060000121593475,1.0,1.0,1.0,1.0,1.0,0.0
prediction_bottleneck,2,1.0,1.0,1.0,1.0,1.0,1.0,0.7940000295639038,0.257999986410141,0.5440000295639038,0.527999997138977,0.527999997138977,1.0,1.0,1.0,1.0,1.0,0.0
prediction_bottleneck,3,1.0,1.0,1.0,1.0,1.0,1.0,0.777999997138977,0.41999998688697815,0.527999997138977,0.47200000286102295,0.47200000286102295,1.0,1.0,1.0,1.0,1.0,0.0
prediction_bottleneck,4,1.0,1.0,1.0,1.0,1.0,1.0,0.8920000195503235,0.31200000643730164,0.6420000195503235,0.5139999985694885,0.5139999985694885,1.0,1.0,1.0,1.0,1.0,0.0
counterfactual_training,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.3579999804496765,0.0,1.0,1.0,1.0,1.0,1.0,0.9715999960899352
counterfactual_training,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.4860000014305115,0.0,1.0,1.0,1.0,1.0,1.0,0.9972000002861022
counterfactual_training,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.4959999918937683,0.0,1.0,1.0,1.0,1.0,1.0,0.9991999983787536
counterfactual_training,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.265999972820282,0.0,1.0,1.0,1.0,1.0,1.0,0.9531999945640564
counterfactual_training,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.421999990940094,0.0,1.0,1.0,1.0,1.0,1.0,0.9843999981880187
edit_pressure_training,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.18800002336502075,0.0,1.0,1.0,1.0,1.0,1.0,0.0
edit_pressure_training,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.1380000114440918,0.0,1.0,1.0,1.0,1.0,1.0,0.0
edit_pressure_training,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.527999997138977,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
edit_pressure_training,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.14399999380111694,0.0,1.0,1.0,1.0,1.0,1.0,0.0
edit_pressure_training,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.17599999904632568,0.0,1.0,1.0,1.0,1.0,1.0,0.0
explicit_table_oracle,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
explicit_table_oracle,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
explicit_table_oracle,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
explicit_table_oracle,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
explicit_table_oracle,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
