agent,seed,hidden_confounder_rejection,reversal_adaptation,cost_tradeoff_success,candidate_expansion_precision,active_discovery_score,hardening_r11_gated_score
random,0,0.425,0.475,0.3333333333333333,0.0,0.0,0.0
random,1,0.4583333333333333,0.44166666666666665,0.6666666666666666,0.0,0.0,0.0
random,2,0.4666666666666667,0.4583333333333333,0.6666666666666666,0.0,0.0,0.0
random,3,0.45,0.44166666666666665,0.6666666666666666,0.0,0.0,0.0
random,4,0.4166666666666667,0.475,0.0,0.0,0.0,0.0
shortcut,0,0.9333333333333333,0.8583333333333333,0.0,0.0,0.0,0.0
shortcut,1,0.95,0.9416666666666667,0.0,0.0,0.0,0.0
shortcut,2,0.9083333333333333,0.9333333333333333,0.0,0.0,0.0,0.0
shortcut,3,0.9166666666666666,0.9333333333333333,0.0,0.0,0.0,0.0
shortcut,4,0.8916666666666667,0.85,0.0,0.0,0.0,0.0
passive_memory,0,0.8166666666666667,0.6583333333333333,0.6666666666666666,0.0,0.0,0.0
passive_memory,1,0.7833333333333333,0.7333333333333333,0.6666666666666666,0.0,0.0,0.0
passive_memory,2,0.7666666666666667,0.7166666666666667,0.6666666666666666,0.0,0.0,0.0
passive_memory,3,0.7333333333333333,0.725,0.6666666666666666,0.0,0.0,0.0
passive_memory,4,0.7833333333333333,0.7,0.6666666666666666,0.0,0.0,0.0
relation_no_explore,0,0.8166666666666667,0.6583333333333333,0.6666666666666666,1.0,0.0,0.0
relation_no_explore,1,0.7833333333333333,0.7333333333333333,0.6666666666666666,1.0,0.0,0.0
relation_no_explore,2,0.7666666666666667,0.7166666666666667,0.6666666666666666,1.0,0.0,0.0
relation_no_explore,3,0.7333333333333333,0.725,0.6666666666666666,1.0,0.0,0.0
relation_no_explore,4,0.7833333333333333,0.7,0.6666666666666666,1.0,0.0,0.0
relation_agent,0,1.0,1.0,1.0,1.0,1.0,1.0
relation_agent,1,1.0,1.0,1.0,1.0,1.0,1.0
relation_agent,2,1.0,1.0,1.0,1.0,1.0,1.0
relation_agent,3,1.0,1.0,1.0,1.0,1.0,1.0
relation_agent,4,1.0,1.0,1.0,1.0,1.0,1.0
