agent,seed,unmarked_nuisance_rejection,new_link_discovery,adaptive_exploration,discovered_relation_precision,discovery_action_success,discovery_r12_gated_score
random,0,0.4666666666666667,0.0,0.0,0.0,0.48333333333333334,0.0
random,1,0.5,0.0,0.0,0.0,0.5,0.0
random,2,0.48333333333333334,0.0,0.0,0.0,0.4583333333333333,0.0
random,3,0.48333333333333334,0.0,0.0,0.0,0.4666666666666667,0.0
random,4,0.475,0.0,0.0,0.0,0.425,0.0
shortcut,0,0.9416666666666667,0.0,0.0,0.0,0.9333333333333333,0.0
shortcut,1,0.9083333333333333,0.0,0.0,0.0,0.9,0.0
shortcut,2,0.9083333333333333,0.0,0.0,0.0,0.9083333333333333,0.0
shortcut,3,0.925,0.0,0.0,0.0,0.9333333333333333,0.0
shortcut,4,0.8916666666666667,0.0,0.0,0.0,0.9166666666666666,0.0
passive_memory,0,0.775,0.0,0.0,0.0,0.8083333333333333,0.0
passive_memory,1,0.7916666666666666,0.0,0.0,0.0,0.7916666666666666,0.0
passive_memory,2,0.8,0.0,0.0,0.0,0.8083333333333333,0.0
passive_memory,3,0.775,0.0,0.0,0.0,0.7416666666666667,0.0
passive_memory,4,0.725,0.0,0.0,0.0,0.7916666666666666,0.0
relation_agent,0,1.0,0.0,0.0,0.0,1.0,0.0
relation_agent,1,1.0,0.0,0.0,0.0,1.0,0.0
relation_agent,2,1.0,0.0,0.0,0.0,1.0,0.0
relation_agent,3,1.0,0.0,0.0,0.0,1.0,0.0
relation_agent,4,1.0,0.0,0.0,0.0,1.0,0.0
discovery_relation_agent,0,1.0,1.0,1.0,1.0,1.0,1.0
discovery_relation_agent,1,1.0,1.0,1.0,1.0,1.0,1.0
discovery_relation_agent,2,1.0,1.0,1.0,1.0,1.0,1.0
discovery_relation_agent,3,1.0,1.0,1.0,1.0,1.0,1.0
discovery_relation_agent,4,1.0,1.0,1.0,1.0,1.0,1.0
