agent,seed,action_success,ood_action_success,relation_recovery,counterfactual_accuracy,edit_success,active_exploration,gated_r1_score
random,0,0.5416666666666666,0.5333333333333333,0.0,0.0,0.0,0.0,0.0
random,1,0.49166666666666664,0.425,0.0,0.0,0.0,0.0,0.0
random,2,0.55,0.475,0.0,0.0,0.0,0.0,0.0
random,3,0.49166666666666664,0.48333333333333334,0.0,0.0,0.0,0.0,0.0
random,4,0.4583333333333333,0.44166666666666665,0.0,0.0,0.0,0.0,0.0
shortcut,0,0.9333333333333333,0.175,0.0,0.0,0.0,0.0,0.0
shortcut,1,0.9,0.25,0.0,0.0,0.0,0.0,0.0
shortcut,2,0.9083333333333333,0.20833333333333334,0.0,0.0,0.0,0.0,0.0
shortcut,3,0.9333333333333333,0.2833333333333333,0.0,0.0,0.0,0.0,0.0
shortcut,4,0.9166666666666666,0.15833333333333333,0.0,0.0,0.0,0.0,0.0
passive_memory,0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0
passive_memory,1,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0,0.0,0.0
passive_memory,2,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.0
passive_memory,3,0.7416666666666667,0.7416666666666667,0.0,0.0,0.0,0.0,0.0
passive_memory,4,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0,0.0,0.0
relation_agent,0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9722222222222222
relation_agent,1,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9722222222222222
relation_agent,2,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9722222222222222
relation_agent,3,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9722222222222222
relation_agent,4,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9722222222222222
