agent,seed,partial_observation_success,inspection_recall,unsafe_action_rate,uncertainty_audit_score,noisy_observation_robustness,partial_r2_gated_score
random,0,0.43333333333333335,0.15,0.85,0.0,0.30833333333333335,0.0
random,1,0.5,0.13333333333333333,0.8666666666666667,0.0,0.3,0.0
random,2,0.35833333333333334,0.23333333333333334,0.7666666666666667,0.0,0.31666666666666665,0.0
random,3,0.425,0.11666666666666667,0.8833333333333333,0.0,0.425,0.0
random,4,0.45,0.16666666666666666,0.8333333333333334,0.0,0.275,0.0
shortcut,0,0.8666666666666667,0.0,1.0,0.0,0.425,0.0
shortcut,1,0.9,0.0,1.0,0.0,0.44166666666666665,0.0
shortcut,2,0.8583333333333333,0.0,1.0,0.0,0.475,0.0
shortcut,3,0.9083333333333333,0.0,1.0,0.0,0.5,0.0
shortcut,4,0.9333333333333333,0.0,1.0,0.0,0.5083333333333333,0.0
passive_memory,0,0.775,0.0,1.0,0.0,0.36666666666666664,0.0
passive_memory,1,0.725,0.0,1.0,0.0,0.375,0.0
passive_memory,2,0.7833333333333333,0.0,1.0,0.0,0.4166666666666667,0.0
passive_memory,3,0.8,0.0,1.0,0.0,0.4666666666666667,0.0
passive_memory,4,0.775,0.0,1.0,0.0,0.43333333333333335,0.0
discovery_relation_agent,0,0.975,0.0,1.0,0.0,0.38333333333333336,0.0
discovery_relation_agent,1,0.9666666666666667,0.0,1.0,0.0,0.4,0.0
discovery_relation_agent,2,0.975,0.0,1.0,0.0,0.43333333333333335,0.0
discovery_relation_agent,3,0.95,0.0,1.0,0.0,0.5083333333333333,0.0
discovery_relation_agent,4,0.9666666666666667,0.0,1.0,0.0,0.5166666666666667,0.0
uncertainty_discovery_agent,0,1.0,1.0,0.0,1.0,0.8916666666666667,0.9783333333333334
uncertainty_discovery_agent,1,1.0,1.0,0.0,1.0,0.9333333333333333,0.9866666666666667
uncertainty_discovery_agent,2,1.0,1.0,0.0,1.0,0.9083333333333333,0.9816666666666667
uncertainty_discovery_agent,3,1.0,1.0,0.0,1.0,0.9,0.98
uncertainty_discovery_agent,4,1.0,1.0,0.0,1.0,0.925,0.985
