agent,seed,inspection_target_accuracy,information_gain_efficiency,budgeted_safe_action_rate,unsafe_automation_rate,overinspection_rate,sequential_update_accuracy,cost_adjusted_success
random_inspect_field,0,0.0,0.14,0.0,0.0,1.0,0.9,-0.8
random_inspect_field,1,0.0,0.14,0.0,0.0,1.0,0.9,-0.8
random_inspect_field,2,0.0,0.14,0.0,0.0,1.0,0.9,-0.8
random_inspect_field,3,0.0,0.14,0.0,0.0,1.0,0.9,-0.8
random_inspect_field,4,0.0,0.14,0.0,0.0,1.0,1.0,-0.8
first_missing_inspect,0,0.0,-0.15999999999999998,0.0,0.0,1.0,0.9,-0.8
first_missing_inspect,1,0.0,-0.15999999999999998,0.0,0.0,1.0,0.9,-0.8
first_missing_inspect,2,0.0,-0.15999999999999998,0.0,0.0,1.0,0.9,-0.8
first_missing_inspect,3,0.0,-0.15999999999999998,0.0,0.0,1.0,0.9,-0.8
first_missing_inspect,4,0.0,-0.15999999999999998,0.0,0.0,1.0,1.0,-0.8
missing_always_inspect,0,0.0,-0.15999999999999998,0.0,0.0,1.0,0.9,-0.8
missing_always_inspect,1,0.0,-0.15999999999999998,0.0,0.0,1.0,0.9,-0.8
missing_always_inspect,2,0.0,-0.15999999999999998,0.0,0.0,1.0,0.9,-0.8
missing_always_inspect,3,0.0,-0.15999999999999998,0.0,0.0,1.0,0.9,-0.8
missing_always_inspect,4,0.0,-0.15999999999999998,0.0,0.0,1.0,1.0,-0.8
risk_first_inspect,0,1.0,1.0,0.0,0.0,1.0,0.9,-0.8
risk_first_inspect,1,1.0,1.0,0.0,0.0,1.0,0.9,-0.8
risk_first_inspect,2,1.0,1.0,0.0,0.0,1.0,0.9,-0.8
risk_first_inspect,3,1.0,1.0,0.0,0.0,1.0,0.9,-0.8
risk_first_inspect,4,1.0,1.0,0.0,0.0,1.0,1.0,-0.8
active_inspection_agent,0,1.0,1.0,1.0,0.0,0.0,0.8,0.85
active_inspection_agent,1,1.0,1.0,1.0,0.0,0.0,0.8,0.65
active_inspection_agent,2,1.0,1.0,1.0,0.0,0.0,0.8,0.65
active_inspection_agent,3,1.0,1.0,1.0,0.0,0.0,0.8,0.65
active_inspection_agent,4,1.0,1.0,1.0,0.0,0.0,1.0,0.65
