condition,policy_name,sample_count,action_utility,mask_f1,compression_cost,generator_score,ood_generalization_score,gain_over_random,gain_over_hand_designed,oracle_gap,invalid_metric_count,episode_id,action_type,region_id,action_score,direct_mask_precision,direct_mask_recall,indirect_mask_precision,indirect_mask_recall
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,0,indirect_stabilize,0,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,1,indirect_stabilize,1,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,2,indirect_stabilize,2,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,3,indirect_stabilize,3,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,4,indirect_stabilize,4,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,5,indirect_stabilize,5,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,6,indirect_stabilize,6,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,7,indirect_stabilize,7,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,8,indirect_stabilize,8,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,9,indirect_stabilize,9,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,10,indirect_stabilize,10,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,11,indirect_stabilize,11,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,12,indirect_stabilize,12,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,13,indirect_stabilize,13,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,14,indirect_stabilize,14,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,15,indirect_stabilize,15,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,16,indirect_stabilize,16,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_generator,,0.1,0.3333333333333333,0.75,0.19666666666666666,,,,,,17,indirect_stabilize,17,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,0,indirect_stabilize,0,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,1,indirect_stabilize,1,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,2,indirect_stabilize,2,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,3,indirect_stabilize,3,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,4,indirect_stabilize,4,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.2,0.0,0.625,0.14750000000000002,,,,,,5,apply_local_damping,10,0.2,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,6,indirect_stabilize,6,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,7,indirect_stabilize,7,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,8,indirect_stabilize,8,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,9,indirect_stabilize,9,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,10,indirect_stabilize,10,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,11,indirect_stabilize,11,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.2,0.0,0.625,0.14750000000000002,,,,,,12,apply_local_damping,17,0.2,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,13,indirect_stabilize,13,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,14,indirect_stabilize,14,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,15,indirect_stabilize,15,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,16,indirect_stabilize,16,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_feedback,,0.1,0.0,0.625,0.09250000000000001,,,,,,17,indirect_stabilize,17,0.1,0.0,0.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,0,indirect_stabilize,0,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,1,indirect_stabilize,1,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,2,indirect_stabilize,2,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,3,indirect_stabilize,3,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,4,indirect_stabilize,4,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,5,indirect_stabilize,5,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,6,indirect_stabilize,6,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,7,indirect_stabilize,7,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,8,indirect_stabilize,8,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,9,indirect_stabilize,9,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,1.0,0.3333333333333333,0.625,0.7041666666666667,,,,,,10,apply_local_damping,10,1.0,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,11,indirect_stabilize,11,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,12,indirect_stabilize,12,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,13,indirect_stabilize,13,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,14,indirect_stabilize,14,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,15,indirect_stabilize,15,0.1,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,1.0,0.3333333333333333,0.625,0.7041666666666667,,,,,,16,apply_local_damping,16,1.0,0.5,1.0,0.0,0.0
feedback_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,17,indirect_stabilize,17,0.1,0.5,1.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,0,apply_local_damping,13,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,1,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,2,apply_local_damping,1,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,3,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,4,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,5,indirect_stabilize,11,0.1,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,6,apply_local_damping,2,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,7,apply_local_damping,4,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,8,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,9,apply_local_damping,11,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.0,0.0,0.0,0.1,,,,,,10,apply_local_damping,13,-0.25,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,11,indirect_stabilize,17,0.1,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,12,indirect_stabilize,16,0.1,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,13,indirect_stabilize,5,0.1,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,14,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,15,apply_local_damping,0,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.2,0.0,0.0,0.21000000000000002,,,,,,16,apply_local_damping,15,0.2,0.0,0.0,0.0,0.0
feedback_required,random,,0.1,0.0,0.0,0.15500000000000003,,,,,,17,indirect_stabilize,9,0.1,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,0,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,1,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,2,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,3,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,4,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,5,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,6,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,7,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,8,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,9,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,10,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,11,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,12,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,13,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,14,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,15,abstain,,0.2,0.0,0.0,0.0,0.0
feedback_required,always_abstain,,0.2,0.0,0.0,0.21000000000000002,,,,,,16,abstain,,0.2,0.0,0.0,0.0,0.0
