condition,policy_name,sample_count,action_utility,mask_f1,compression_cost,generator_score,ood_generalization_score,gain_over_random,gain_over_hand_designed,oracle_gap,invalid_metric_count
train,g1_generator,32,0.95625,0.9580070263252829,0.5,0.911239959213849,0.0,0.654833709213849,0.288739959213849,0.08876004078615096,0
train,random,32,0.284375,0.0,0.0,0.25640625,0.0,0.0,-0.36609375000000005,0.74359375,0
train,always_abstain,32,0.2,0.0,0.0,0.21000000000000002,0.0,-0.04640624999999998,-0.41250000000000003,0.79,0
train,hand_designed,32,0.95,0.0,0.0,0.6225,0.0,0.36609375000000005,0.0,0.37749999999999995,0
train,oracle,32,1.0,1.0,0.0,1.0,0.0,0.74359375,0.37749999999999995,0.0,0
test,g1_generator,16,0.9187500000000001,0.9611111111111111,0.5,0.891701388888889,0.0,0.6610763888888889,0.2692013888888889,0.10829861111111105,0
test,random,16,0.23750000000000002,0.0,0.0,0.23062500000000002,0.0,0.0,-0.39187500000000003,0.7693749999999999,0
test,always_abstain,16,0.2,0.0,0.0,0.21000000000000002,0.0,-0.020625000000000004,-0.41250000000000003,0.79,0
test,hand_designed,16,0.95,0.0,0.0,0.6225,0.0,0.39187500000000003,0.0,0.37749999999999995,0
test,oracle,16,1.0,1.0,0.0,1.0,0.0,0.7693749999999999,0.37749999999999995,0.0,0
ood_remap,g1_generator,16,0.925,0.8827622030747031,0.5,0.8677167710761461,0.8677167710761461,0.6370917710761461,0.2727167710761461,0.1322832289238539,0
ood_remap,random,16,0.23750000000000002,0.0,0.0,0.23062500000000002,0.23062500000000002,0.0,-0.36437499999999995,0.7693749999999999,0
ood_remap,always_abstain,16,0.2,0.0,0.0,0.21000000000000002,0.21000000000000002,-0.020625000000000004,-0.38499999999999995,0.79,0
ood_remap,hand_designed,16,0.9,0.0,0.0,0.595,0.595,0.36437499999999995,0.0,0.405,0
ood_remap,oracle,16,1.0,1.0,0.0,1.0,1.0,0.7693749999999999,0.405,0.0,0
