agent,seed,base_reward,base_success,ood_success,spurious_attack_success,counterfactual_accuracy,edit_success,relation_audit,irrelevant_link_rejection,noisy_observation_success,review_score,review_consistency,gated_slope_score
majority,0,0.3456666666666667,0.5366666666666666,0.595,0.58,0.6666666666666666,0.0,0.0,1.0,0.59,0.0,0.0,0.0
majority,1,0.34800000000000003,0.5566666666666666,0.535,0.6,0.6666666666666666,0.0,0.0,1.0,0.565,0.0,0.0,0.0
majority,2,0.39599999999999996,0.59,0.59,0.59,0.6666666666666666,0.0,0.0,1.0,0.57,0.0,0.0,0.0
majority,3,0.3373333333333333,0.5633333333333334,0.565,0.525,0.6666666666666666,0.0,0.0,1.0,0.555,0.0,0.0,0.0
majority,4,0.36933333333333335,0.58,0.57,0.61,0.6666666666666666,0.0,0.0,1.0,0.57,0.0,0.0,0.0
surface,0,0.8313333333333334,0.8466666666666667,0.235,0.18,0.3333333333333333,0.0,0.0,1.0,0.38,0.0,0.0,0.0
surface,1,0.8133333333333334,0.83,0.395,0.015,0.3333333333333333,0.0,0.0,1.0,0.345,0.0,0.0,0.0
surface,2,0.8183333333333334,0.8266666666666667,0.38,0.165,0.3333333333333333,0.0,0.0,1.0,0.255,0.0,0.0,0.0
surface,3,0.848,0.8533333333333334,0.275,0.185,0.3333333333333333,0.0,0.0,1.0,0.22,0.0,0.0,0.0
surface,4,0.8156666666666667,0.8333333333333334,0.35,0.045,0.3333333333333333,0.0,0.0,1.0,0.36,0.0,0.0,0.0
structural_memory,0,0.9189999999999999,0.9333333333333333,1.0,1.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.0
structural_memory,1,0.9306666666666666,0.9533333333333334,1.0,1.0,1.0,0.0,0.0,1.0,0.98,0.0,0.0,0.0
structural_memory,2,0.9306666666666666,0.9533333333333334,1.0,1.0,1.0,0.0,0.0,1.0,0.97,0.0,0.0,0.0
structural_memory,3,0.9306666666666666,0.9533333333333334,1.0,1.0,1.0,0.0,0.0,1.0,0.955,0.0,0.0,0.0
structural_memory,4,0.9239999999999999,0.9466666666666667,1.0,1.0,1.0,0.0,0.0,1.0,0.985,0.0,0.0,0.0
learned_links,0,0.8833333333333333,0.8833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.765,1.0,1.0,0.9812000000000002
learned_links,1,0.8933333333333333,0.8933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.765,1.0,1.0,0.9812000000000002
learned_links,2,0.8833333333333333,0.8833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.725,1.0,1.0,0.9780000000000002
learned_links,3,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.73,1.0,1.0,0.9784000000000002
learned_links,4,0.8733333333333333,0.8733333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.78,1.0,1.0,0.9824000000000002
generic_review,0,0.14333333333333334,0.21333333333333335,0.15,0.165,0.3333333333333333,0.0,0.0,1.0,0.18,0.42857142857142855,0.0,0.0
generic_review,1,0.11833333333333333,0.19333333333333333,0.25,0.165,0.3333333333333333,0.0,0.0,1.0,0.2,0.42857142857142855,0.0,0.0
generic_review,2,0.09,0.16,0.18,0.14,0.3333333333333333,0.0,0.0,1.0,0.185,0.42857142857142855,0.0,0.0
generic_review,3,0.07333333333333333,0.16,0.2,0.18,0.3333333333333333,0.0,0.0,1.0,0.2,0.42857142857142855,0.0,0.0
generic_review,4,0.07666666666666666,0.15666666666666668,0.185,0.16,0.3333333333333333,0.0,0.0,1.0,0.195,0.42857142857142855,0.0,0.0
relation_chain,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.765,1.0,1.0,0.9812000000000002
relation_chain,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.765,1.0,1.0,0.9812000000000002
relation_chain,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.725,1.0,1.0,0.9780000000000002
relation_chain,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,1.0,1.0,0.9784000000000002
relation_chain,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,1.0,1.0,0.9824000000000002
