agent,seed,variable_delay_success,false_delay_shortcut_rejection,multi_link_delay_edit_success,temporal_audit_consistency,anti_template_generalization,hardening_gated_score
surface_temporal,0,0.29625,0.291875,0.0,0.0,0.29545454545454547,0.0
surface_temporal,1,0.296875,0.29125,0.0,0.0,0.29229797979797983,0.0
surface_temporal,2,0.296875,0.29125,0.0,0.0,0.29103535353535354,0.0
surface_temporal,3,0.296875,0.290625,0.0,0.0,0.2897727272727273,0.0
surface_temporal,4,0.295625,0.29125,0.0,0.0,0.2866161616161616,0.0
structural_memory_temporal,0,0.985625,0.979375,0.0,0.0,0.9760101010101011,0.0
structural_memory_temporal,1,0.985625,0.980625,0.0,0.0,0.9741161616161617,0.0
structural_memory_temporal,2,0.985625,0.980625,0.0,0.0,0.9734848484848485,0.0
structural_memory_temporal,3,0.984375,0.98,0.0,0.0,0.975378787878788,0.0
structural_memory_temporal,4,0.984375,0.980625,0.0,0.0,0.9772727272727272,0.0
instant_relation_chain,0,0.42625,0.38125,0.0,0.0,0.3806818181818182,0.0
instant_relation_chain,1,0.425,0.38,0.0,0.0,0.3813131313131313,0.0
instant_relation_chain,2,0.425625,0.38,0.0,0.0,0.3813131313131313,0.0
instant_relation_chain,3,0.426875,0.37875,0.0,0.0,0.3832070707070707,0.0
instant_relation_chain,4,0.42875,0.378125,0.0,0.0,0.38825757575757575,0.0
delayed_relation_chain,0,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,1,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,2,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,3,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,4,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,0,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,1,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,2,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,3,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,4,1.0,1.0,1.0,1.0,1.0,1.0
