agent,seed,temporal_ood_success,surface_shortcut_rejection,delayed_counterfactual_accuracy,delay_edit_success,temporal_audit_score,gated_temporal_score
surface_temporal,0,0.7666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0
surface_temporal,1,0.7638888888888888,0.03333333333333333,0.0,0.0,0.0,0.0
surface_temporal,2,0.7666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0
surface_temporal,3,0.775,0.030555555555555555,0.0,0.0,0.0,0.0
surface_temporal,4,0.7777777777777778,0.027777777777777776,0.0,0.0,0.0,0.0
structural_memory_temporal,0,1.0,0.9694444444444444,1.0,0.0,0.0,0.0
structural_memory_temporal,1,1.0,0.9666666666666667,1.0,0.0,0.0,0.0
structural_memory_temporal,2,1.0,0.9666666666666667,1.0,0.0,0.0,0.0
structural_memory_temporal,3,1.0,0.9666666666666667,1.0,0.0,0.0,0.0
structural_memory_temporal,4,1.0,0.9666666666666667,1.0,0.0,0.0,0.0
instant_relation_chain,0,0.41388888888888886,0.37777777777777777,0.0,0.0,0.0,0.0
instant_relation_chain,1,0.4111111111111111,0.375,0.0,0.0,0.0,0.0
instant_relation_chain,2,0.4111111111111111,0.3638888888888889,0.0,0.0,0.0,0.0
instant_relation_chain,3,0.4111111111111111,0.3638888888888889,0.0,0.0,0.0,0.0
instant_relation_chain,4,0.4111111111111111,0.3638888888888889,0.0,0.0,0.0,0.0
delayed_relation_chain,0,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,1,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,2,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,3,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,4,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,0,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,1,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,2,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,3,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,4,1.0,1.0,1.0,1.0,1.0,1.0
