agent,seed,long_missing_takeover_recall,correlated_failure_recall,drift_conflict_takeover,multi_conflict_audit_score,delayed_response_safety,stress_v32_gated_score
surface_temporal,0,0.0,0.0,0.0,0.0,0.0,0.0
surface_temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
surface_temporal,2,0.0,0.0,0.0,0.0,0.0,0.0
surface_temporal,3,0.0,0.0,0.0,0.0,0.0,0.0
surface_temporal,4,0.0,0.0,0.0,0.0,0.0,0.0
structural_memory_temporal,0,0.0,0.0,0.0,0.0,0.0,0.0
structural_memory_temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
structural_memory_temporal,2,0.0,0.0,0.0,0.0,0.0,0.0
structural_memory_temporal,3,0.0,0.0,0.0,0.0,0.0,0.0
structural_memory_temporal,4,0.0,0.0,0.0,0.0,0.0,0.0
instant_relation_chain,0,0.0,0.0,0.0,0.0,0.0,0.0
instant_relation_chain,1,0.0,0.0,0.0,0.0,0.0,0.0
instant_relation_chain,2,0.0,0.0,0.0,0.0,0.0,0.0
instant_relation_chain,3,0.0,0.0,0.0,0.0,0.0,0.0
instant_relation_chain,4,0.0,0.0,0.0,0.0,0.0,0.0
delayed_relation_chain,0,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,1,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,2,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,3,1.0,1.0,1.0,1.0,1.0,1.0
delayed_relation_chain,4,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,0,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,1,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,2,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,3,1.0,1.0,1.0,1.0,1.0,1.0
learned_delayed_links,4,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_delayed_links,0,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_delayed_links,1,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_delayed_links,2,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_delayed_links,3,1.0,1.0,1.0,1.0,1.0,1.0
uncertainty_aware_delayed_links,4,1.0,1.0,1.0,1.0,1.0,1.0
overcautious_takeover,0,1.0,1.0,1.0,0.0,1.0,0.0
overcautious_takeover,1,1.0,1.0,1.0,0.0,1.0,0.0
overcautious_takeover,2,1.0,1.0,1.0,0.0,1.0,0.0
overcautious_takeover,3,1.0,1.0,1.0,0.0,1.0,0.0
overcautious_takeover,4,1.0,1.0,1.0,0.0,1.0,0.0
