agent,seed,noisy_action_success,takeover_precision,takeover_recall,unsafe_automation_rate,uncertain_relation_audit_score,gated_v3_score
surface_temporal,0,0.311875,0.0,0.0,1.0,0.0,0.0
surface_temporal,1,0.309375,0.0,0.0,1.0,0.0,0.0
surface_temporal,2,0.30875,0.0,0.0,1.0,0.0,0.0
surface_temporal,3,0.30875,0.0,0.0,1.0,0.0,0.0
surface_temporal,4,0.3075,0.0,0.0,1.0,0.0,0.0
structural_memory_temporal,0,0.4175,0.7368421052631579,0.09333333333333334,0.9066666666666666,0.0,0.0
structural_memory_temporal,1,0.415625,0.7368421052631579,0.09302325581395349,0.9069767441860465,0.0,0.0
structural_memory_temporal,2,0.415625,0.7368421052631579,0.09312638580931264,0.9068736141906873,0.0,0.0
structural_memory_temporal,3,0.41625,0.7304347826086957,0.09333333333333334,0.9066666666666666,0.0,0.0
structural_memory_temporal,4,0.415,0.7304347826086957,0.09302325581395349,0.9069767441860465,0.0,0.0
instant_relation_chain,0,0.2125,0.0,0.0,1.0,0.0,0.0
instant_relation_chain,1,0.20875,0.0,0.0,1.0,0.0,0.0
instant_relation_chain,2,0.209375,0.0,0.0,1.0,0.0,0.0
instant_relation_chain,3,0.210625,0.0,0.0,1.0,0.0,0.0
instant_relation_chain,4,0.21,0.0,0.0,1.0,0.0,0.0
delayed_relation_chain,0,0.77375,0.7579948141745895,0.9744444444444444,0.025555555555555557,1.0,0.894848962834918
delayed_relation_chain,1,0.775,0.7599309153713298,0.9745293466223699,0.02547065337763012,1.0,0.8955243890543325
delayed_relation_chain,2,0.775,0.759723422644771,0.9745011086474501,0.025498891352549888,1.0,0.8954701834203068
delayed_relation_chain,3,0.77375,0.7573402417962003,0.9744444444444444,0.025555555555555557,1.0,0.8947180483592402
delayed_relation_chain,4,0.775,0.7599309153713298,0.9745293466223699,0.02547065337763012,1.0,0.8955243890543325
learned_delayed_links,0,0.77375,0.7579948141745895,0.9744444444444444,0.025555555555555557,1.0,0.894848962834918
learned_delayed_links,1,0.775,0.7599309153713298,0.9745293466223699,0.02547065337763012,1.0,0.8955243890543325
learned_delayed_links,2,0.775,0.759723422644771,0.9745011086474501,0.025498891352549888,1.0,0.8954701834203068
learned_delayed_links,3,0.77375,0.7573402417962003,0.9744444444444444,0.025555555555555557,1.0,0.8947180483592402
learned_delayed_links,4,0.775,0.7599309153713298,0.9745293466223699,0.02547065337763012,1.0,0.8955243890543325
uncertainty_aware_delayed_links,0,0.77375,0.7579948141745895,0.9744444444444444,0.025555555555555557,1.0,0.894848962834918
uncertainty_aware_delayed_links,1,0.775,0.7599309153713298,0.9745293466223699,0.02547065337763012,1.0,0.8955243890543325
uncertainty_aware_delayed_links,2,0.775,0.759723422644771,0.9745011086474501,0.025498891352549888,1.0,0.8954701834203068
uncertainty_aware_delayed_links,3,0.77375,0.7573402417962003,0.9744444444444444,0.025555555555555557,1.0,0.8947180483592402
uncertainty_aware_delayed_links,4,0.775,0.7599309153713298,0.9745293466223699,0.02547065337763012,1.0,0.8955243890543325
